JD,mag,error,Phase
1001.2083188481337,,,0.045969685924717396
1001.2287515381176,1.0006800050272522,0.00017362893733777573,0.04703184166542229
1001.2491844278627,1.000213984723201,0.00017366960519947684,0.04809400779033979
1001.2696172171491,0.9999260188382942,0.00017364793712883314,0.04915616869310213
1001.2900501064287,0.9993819114671272,0.00017357847202635436,0.05021833479382565
1001.3104827954812,0.9996929054040102,0.0001736196234641548,0.051280490486107055
1001.3309155845343,0.9996864950540848,0.00017364668119485506,0.052342651376740434
1001.3513484731155,0.9997673077691354,0.0001736378150483425,0.05340481744116232
1001.3717811614697,0.9999279791150956,0.0001736352029932048,0.0544669730971421
1001.3922139498244,0.9999997119165432,0.00017363423864439834,0.05552913395147385
1001.4126468377073,0.999708671292398,0.00017360393451710347,0.056591299979587006
1001.4330796255963,1.0,0.0001736351704611137,0.057653460809710566
1001.4535123132518,0.9997608519086723,0.00017355059503058472,0.058715616429374506
1001.4739452006688,0.9994864458946952,0.00017345586844115028,0.059777782433272364
1001.4943779878595,1.0,0.0001735250059952693,0.060839943227094295
1001.5148106748164,1.0001555377533111,0.0001735107818964298,0.061902098810442396
1001.535243561535,1.0000922058695128,0.0001734733578797879,0.06296426477803863
1001.5556762480264,0.9999015592968994,0.00017351031955146898,0.06402642033719275
1001.5761091345192,0.999996354061326,0.0001735022731663063,0.0650885862930437
1001.5965419205385,0.999978124372155,0.00017349689914324535,0.06615074702597212
1001.6169746065644,0.9999974094718344,0.0001735160323185779,0.06721290256092516
1001.6374074923586,0.9999201745337764,0.0001735075657430954,0.06827506848046738
1001.6578402779124,0.999932267073806,0.0001735304543307447,0.06933722918919472
1001.6782729632396,0.9999131766310632,0.00017342795089096368,0.0703993846878248
1001.6987058483355,0.9999243058588224,0.00017344166230833744,0.0714615505710654
1001.7191386331905,0.9997310638085642,0.00017340161144415093,0.07252371124346979
1001.7395713178192,0.999880987841196,0.00017344009271458343,0.07358586670579115
1001.7600042024496,1.0003382370513323,0.00017344394747147187,0.07464803256483776
1001.7804369866063,0.999875825746798,0.0001733847551768258,0.07571019320093342
1001.8008697707699,1.0000544613480236,0.00017344755606798172,0.07677235383739145
1001.8213025547011,1.0,0.0001734514052399437,0.07783451446177736
1001.841735338392,0.9998954935976404,0.00017343340547181378,0.07889667507366482
1001.8621682216252,1.0000496590732064,0.00017346868249994008,0.07995884086007976
1001.8826009050899,0.9996034181767918,0.00017344225830260508,0.0810209962618913
